2,10,-,9,15,SOUTHEAST ROSE (IRE),9,m, Beat Hollow Sunny South East (IRE),Martin Todhunter,C O'Farrell (144)
2,12,-,10,7,BARABOY (IRE),12,g, Barathea (IRE) Irina (IRE),Barry Murtagh,L Murtagh (142)
2,13,-,70,50,ABOUTTIMEYOUTOLDME,8,g, Mastercraftsman (IRE) Mary Boleyn (IRE),Whillans,Craig Nichol (140)
2,14,-,9,20,FLASH MORIVIERE (FR),7,g, Maresca Sorrento (FR) Fleur De Princesse (FR),Andrew Hamilton,D R Fox (140)
2,15,-,50,15,SISU,4,f, Lawman (FR) Salonmare (GER),Susan Corbett,D Hurst (140)
 
3,1,-,1/5,1,SOFT RISK (FR),6,g, My Risk (FR) Douce Ambiance (FR),Nicky Richards,B Hughes (164)
3,2,-,2,9/5,BELIEVE JACK (FR),5,g, Make Believe Sandslide,Olly Murphy,L Stones (159)
3,3,-,35,15,ANDANTE (IRE),5,g, Califet (FR) Court Over,Susan Corbett,S Coltherd (152)
3,4,-,99,60,LAST GLANCE (IRE),7,g, Shamardal (USA) Linda Radlett (IRE),R Mike Smith,W Shanahan (152)
3,5,-,99,50,LISLORAN (IRE),6,g, Imperial Monarch (IRE) Now Were Broke (IRE),Russell Ross,Sean Quinlan (152)
3,6,-,99,20,RALPHY BOY TWO (IRE),5,g, Gutaifan (IRE) St Athan,Whillans,C Bewley (152)
3,7,-,17,15,TRAVAIL D'ORFEVRE (FR),6,g, Martaline Lady Needles (IRE),Nick Alexander,B Lynn (152)
3,8,-,9,6,WELL PLANTED (FR),5,g, Planteur (IRE) Next Dream (FR),R Mike Smith,R Mania (152)
3,9,-,90,99,ANNIES REGATTA,6,m, Flemensfirth (USA) Queens Regatta (IRE),Stuart Coltherd,H Brooke (145)
3,10,-,99,60,WEST LAWN,6,m, Westlake Garden Feature,James Walton,J Hamilton (145)
 
4,1,-,3/5,9/2,ELVIS MAIL (FR),8,g, Great Pretender (IRE) Queenly Mail (FR),Nick Alexander,B Lynn (173)
4,2,-,12,15,ALBERT'S BACK,8,g, Champs Elysees Neath,Michael & David Easterby,J Hamilton (166)
4,3,-,3,9/5,WORD HAS IT (IRE),8,g, Jeremy (USA) Rathfeigh (IRE),Donald McCain,B Hughes (166)
4,4,-,3,9/5,STAINSBY GIRL,8,m, Shirocco (GER) Charmaine Wood,Donald Whillans,Craig Nichol (154)
4,5,-,10,8,SERIOUS EGO (GER),9,g, Sholokhov (IRE) Sunshine Story (IRE),Nicky Richards,Sean Quinlan (151)
4,6,-,20,15,BATTLE OF WILLS (IRE),6,g, Lawman (FR) Maidin Maith (IRE),Whillans,C Bewley (144)
 
5,1,-,2,8/5,BIG RIVER (IRE),12,g, Milan Call Kate (IRE),Lucinda Russell,D R Fox (166)
5,2,-,2,5/2,MISTER WHITAKER (IRE),10,g, Court Cave (IRE) Benbradagh Vard (IRE),Donald McCain,B Hughes (165)
5,3,-,5/2,5,SAINT XAVIER (FR),10,g, Saint Des Saints (FR) Princesse Lucie (FR),Richard Hobson,W T Kennedy (155)
5,4,-,9/5,3,CASH TO ASH (IRE),9,g, Westerner Knocklayde Rose (IRE),Mark Walford,J Hamilton (151)
 
6,1,-,5,3,PRINCE DUNDEE (IRE),9,g, Stowaway Miss Dundee (IRE),Lucinda Russell,P W Wadge (175)
6,2,-,50,50,TINTERN THEATRE (IRE),11,g, King's Theatre (IRE) Rith Ar Aghaidh (IRE),Russell Ross,T Gillard (163)
6,3,-,7/2,2,LASTOFTHECOSMICS,7,g, Shirocco (GER) Cosmic Case,Iain Jardine,A Doyle (160)
6,4,-,40,20,NAKADAM (FR),12,g, Nickname (FR) Cadoudame (FR),Barry Murtagh,L Murtagh (160)
6,5,-,5/2,5/2,EVEQUE (FR),8,g, Kotky Bleu (FR) Gloria IV (FR),Mrs J M Walton,N Moscrop (158)
6,6,-,9/2,15,DON'T NEED TO KNOW (IRE),8,g, Flemensfirth (USA) Phardester (IRE),R Mike Smith,W Shanahan (156)
6,7,-,4,10,SKYHILL (IRE),9,g, Gold Well Classic Mari (IRE),Alison Hamilton,L Harrison (152)
6,8,-,5,15,TO THE LIMIT (IRE),7,g, Carlotamix (FR) Miss Kilkeel (IRE),Stuart Coltherd,O Brown (143)
6,9,-,15,20,SILVER STAR MIX,6,m, Fair Mix (IRE) Shady Olive (UNR),Sandy Thomson,E Austin (140)
 
 
